predicted_time,station_name,model_A
2020-06-18 14:25:00,24006 - Adolphe Lalyre - Armand Silvestre,6
2020-06-18 14:25:00,27002 - Parc Pierre Lagrav̬re,17
2020-06-18 14:25:00,31018 - Gambetta - Michelet,0
2020-06-18 14:25:00,31702 - Pierre et Marie Curie - Julien Grimau,4
2020-06-18 14:25:00,32015 - Gare RER de Saint-Denis,2
2020-06-18 14:25:00,33005 - R̩publique - Henri Barbusse,9
2020-06-18 14:25:00,35003 - Gabrielle Josserand - Edouard Vaillant,7
2020-06-18 14:25:00,35020 - Marcelle - Thalie,4
2020-06-18 14:25:00,41303 - Gare de Nogent-le-Perreux,21
2020-06-18 14:25:00,42015 - Place Jean Ferrat,6
2020-06-18 14:25:00,42302 - Aristide Briand - Gare de Bagneux,4
2020-06-18 14:25:00,43004 - Montreuil - R̩publique,6
2020-06-18 14:25:00,44008 - Youri Gagarine - Commune de Paris,6
2020-06-18 14:25:00,46001 - Place Paul Eluard,12
2020-06-18 14:25:00,48008 - Guy M̫quet - Parvis Georges Marchais,14
2020-06-18 14:25:00,1014 - Rivoli - Mus̩e du Louvre,22
2020-06-18 14:25:00,1120 - Lavandieres Sainte Opportune - Rivoli,21
2020-06-18 14:25:00,2017 - Caire - Dussoubs,24
2020-06-18 14:25:00,3006 - Mairie du 3̬me,20
2020-06-18 14:25:00,4010 - Saint-Antoine S̩vign̩,24
2020-06-18 14:25:00,4108 - Quai de B̩thune - Pont de la Tournelle,9
2020-06-18 14:25:00,5019 - Poissy - Saint-Germain,2
2020-06-18 14:25:00,5107 - Pontoise - La Tournelle,0
2020-06-18 14:25:00,6007 - Br̩a - Raspail,8
2020-06-18 14:25:00,6026 - Saint-Placide - Cherche Midi,47
2020-06-18 14:25:00,7006 - Quai Voltaire,32
2020-06-18 14:25:00,7024 - Rapp - Place du G̩n̩ral Gouraud,26
2020-06-18 14:25:00,8009 - Gare Saint-Lazare - Isly,27
2020-06-18 14:25:00,8031 - Jean Mermoz - Champs-Elys̩es,31
2020-06-18 14:25:00,8051 - Batignolles - Rome,0
2020-06-18 14:25:00,9001 - Bellefond - Poissonni̬re,2
2020-06-18 14:25:00,9019 - Victor Mass̩ - Jean-Baptiste Pigalle,0
2020-06-18 14:25:00,9037 - Parme - Clichy,6
2020-06-18 14:25:00,10004 - Metz - Faubourg Saint-Denis,17
2020-06-18 14:25:00,10021 - March̩ Saint-Quentin,4
2020-06-18 14:25:00,10041 - Gare du Nord - La Chapelle,1
2020-06-18 14:25:00,10165 - Gare de l'Est - Place du 11 Novembre 1918,6
2020-06-18 14:25:00,11018 - Saint-Maur - R̩publique,2
2020-06-18 14:25:00,11034 - Parmentier - Fontaine au Roi,7
2020-06-18 14:25:00,11103 - Pel̩e - Alphonse Baudin,7
