,prediction,real_values,metrics
2020-05-10 18:45:00,"[18.046123855588373, 18.185772680070368, 18.32429675987448, 18.461260579756992, 18.59625752129941, 18.72891175086178]","[8, 9, 12, 11, 12, 11]",8.002258570112687
2020-05-10 19:00:00,"[17.884964592793775, 18.016919111746933, 18.146904108154384, 18.27457687877729, 18.39962639007001, 18.52177435931362]","[11, 12, 11, 13, 13, 13]",6.084836478905703
2020-05-10 19:15:00,"[18.246906336444415, 18.373328931579366, 18.49716234323703, 18.618155650236417, 18.736090292624457, 18.850780381590965]","[13, 13, 13, 13, 15, 15]",4.949276662140364
2020-05-10 19:30:00,"[18.568829433756882, 18.687478132648913, 18.803117677640746, 18.915591565200568, 19.024774513302983, 19.1305720296797]","[13, 15, 15, 16, 15, 14]",4.28359883199392
2020-05-10 19:45:00,"[18.538698174297203, 18.64577382081931, 18.749668992007063, 18.850320906477013, 18.947694836410985, 19.041782997603246]","[16, 15, 14, 15, 16, 14]",3.8993474332842735
2020-05-10 20:00:00,"[18.832426144593214, 18.93030310044382, 19.02504129589638, 19.11665518836031, 19.205182556498386, 19.29068286987001]","[15, 16, 14, 16, 16, 17]",3.506165265966673
2020-05-10 20:15:00,"[18.657305067618157, 18.742620161534077, 18.825092024270223, 18.90480510151248, 18.981860820164215, 19.056375551526116]","[16, 16, 17, 18, 18, 18]",1.8624736560846433
2020-05-10 20:30:00,"[19.199480644128382, 19.279739712620962, 19.35754625855688, 19.433022154518806, 19.506299438271657, 19.577518120854]","[18, 18, 18, 18, 18, 18]",1.398241354137497
2020-05-10 20:45:00,"[18.95980486205546, 19.029328220367947, 19.0968741480392, 19.162594262686987, 19.22664324458153, 19.28917659996499]","[18, 18, 18, 19, 19, 19]",0.7466929328320917
2020-05-10 21:00:00,"[19.41682693731896, 19.483612023588346, 19.54891989349056, 19.612897128736673, 19.675686606378942, 19.737425473660725]","[19, 19, 19, 19, 18, 18]",1.0732469507868971
2020-05-10 21:15:00,"[19.41979368436757, 19.481004879680192, 19.54115962622747, 19.600389746444613, 19.65881756668509, 19.716554203036882]","[19, 18, 18, 18, 18, 18]",1.472201105862506
2020-05-10 21:30:00,"[19.608662577466625, 19.667170417203735, 19.72508040412825, 19.78249100942418, 19.839485963236726, 19.896132991236513]","[18, 18, 18, 19, 19, 19]",1.3205578422982078
2020-05-10 21:45:00,"[19.745450976325124, 19.802748249430866, 19.859763877190776, 19.916545823771074, 19.97312371709203, 20.029508155071333]","[19, 19, 19, 19, 20, 20]",0.6808016288980435
